state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff
Alabama,01001,Autauga County,20484,7439,28190,13045.0
Alabama,01003,Baldwin County,95798,24934,121808,70864.0
Alabama,01005,Barbour County,5606,4158,9832,1448.0
Alabama,01007,Bibb County,7572,1619,9241,5953.0
Alabama,01009,Blount County,25354,2576,28115,22778.0
Alabama,01011,Bullock County,1101,2983,4106,-1882.0
Alabama,01013,Butler County,5172,3251,8467,1921.0
Alabama,01015,Calhoun County,34912,13194,48530,21718.0
Alabama,01017,Chambers County,8711,5405,14221,3306.0
Alabama,01019,Cherokee County,11358,1553,12984,9805.0
Alabama,01021,Chilton County,16920,2698,19728,14222.0
Alabama,01023,Choctaw County,4103,2515,6646,1588.0
Alabama,01025,Clarke County,6965,4927,11946,2038.0
Alabama,01027,Clay County,5734,993,6757,4741.0
Alabama,01029,Cleburne County,6988,605,7637,6383.0
Alabama,01031,Coffee County,17495,4601,22270,12894.0
Alabama,01033,Colbert County,19714,7137,27086,12577.0
Alabama,01035,Conecuh County,3423,2580,6043,843.0
Alabama,01037,Coosa County,3758,1478,5264,2280.0
Alabama,01039,Covington County,14677,2314,17072,12363.0
Alabama,01041,Crenshaw County,5000,1457,6480,3543.0
Alabama,01043,Cullman County,38704,4039,43052,34665.0
Alabama,01045,Dale County,14476,4484,19103,9992.0
Alabama,01047,Dallas County,5190,10236,15528,-5046.0
Alabama,01049,DeKalb County,25633,3758,29583,21875.0
Alabama,01051,Elmore County,31374,9774,41491,21600.0
Alabama,01053,Escambia County,10884,3964,14929,6920.0
Alabama,01055,Etowah County,35653,10027,46023,25626.0
Alabama,01057,Fayette County,7158,1142,8356,6016.0
Alabama,01059,Franklin County,10417,1568,12077,8849.0
Alabama,01061,Geneva County,10929,1391,12390,9538.0
Alabama,01063,Greene County,885,3133,4035,-2248.0
Alabama,01065,Hale County,3369,3868,7290,-499.0
Alabama,01067,Henry County,6989,2263,9301,4726.0
Alabama,01069,Houston County,32469,11352,44195,21117.0
Alabama,01071,Jackson County,20073,3276,23509,16797.0
Alabama,01073,Jefferson County,131123,162112,296741,-30989.0
Alabama,01075,Lamar County,6033,806,6875,5227.0
