geoid,dem_votes
01001,7439
01003,24934
01005,4158
01007,1619
01009,2576
01011,2983
01013,3251
01015,13194
01017,5405
01019,1553
01021,2698
01023,2515
01025,4927
01027,993
01029,605
01031,4601
01033,7137
01035,2580
01037,1478
01039,2314
01041,1457
01043,4039
01045,4484
01047,10236
01049,3758
01051,9774
01053,3964
01055,10027
01057,1142
01059,1568
01061,1391
01063,3133
01065,3868
01067,2263
01069,11352
01071,3276
01073,162112
01075,806
01077,10326
01079,2983
01081,25798
01083,14581
01085,3867
01087,6084
01089,87824
01091,4631
01093,1197
01095,5553
01097,72055
01099,3740
01101,57946
01103,12392
01105,3174
01107,3388
01109,4899
01111,1920
01113,10422
01115,7640
01117,33087
01119,3725
01121,10898
01123,4975
01125,33399
01127,4102
01129,1863
01131,3449
01133,884
02001,3367
02002,4571
02003,6130
02004,6161
02005,3328
02006,4773
02007,2513
02008,2576
02009,5849
02010,4070
02011,4633
02012,4169
02013,3682
02014,4346
02015,4364
02016,5344
02017,4990
02018,1928
02019,2825
02020,3924
02021,4711
02022,2660
02023,4116
02024,3234
02025,3172
02026,2013
02027,1807
02028,2213
02029,2708
02030,2701
02031,3240
02032,1883
02033,2016
02034,3759
02035,4885
02036,3538
02037,1921
02038,2028
02039,2180
02040,1362
04001,18872
04003,22296
04005,41504
04007,8504
04009,3867
04011,954
04012,2101
04013,980016
04015,24081
04017,20754
04019,292450
04021,80656
04023,11265
04025,48717
04027,26823
05001,1503
05003,1774
05005,4341
05007,45231
05009,2854
05011,961
05013,379
05015,3812
05017,1796
05019,2959
05021,907
05023,1941
05025,524
05027,2466
05029,2449
05031,11210
05033,4753
05035,7362
05037,1642
05039,798
05041,1638
05043,2050
05045,17752
05047,1232
05049,906
05051,13015
05053,1192
05055,2935
05057,1776
05059,2818
05061,1158
05063,2689
05065,949
05067,1183
05069,12802
05071,2107
05073,698
05075,965
05077,1270
05079,813
05081,1084
05083,1464
05085,6790
05087,1491
05089,1501
05091,3769
05093,3574
05095,1002
05097,645
05099,849
05101,644
05103,3412
05105,923
05107,2754
05109,560
05111,1235
05113,1145
05115,5487
05117,524
05119,92038
05121,1138
05123,2953
05125,16609
05127,425
05129,511
05131,13652
05133,862
05135,1316
05137,1089
05139,5019
05141,1437
05143,43779
05145,5641
05147,760
05149,1213
06001,499551
06003,479
06005,7783
06007,44228
06009,9181
06011,2431
06013,356008
06015,4266
06017,47703
06019,151628
06021,3260
06023,39800
06025,26083
06027,4201
06029,108241
06031,15519
06033,12794
06035,2478
06037,2417109
06039,20981
06041,116152
06043,3622
06045,24049
06047,40190
06049,1008
06051,3522
06053,93060
06055,43212
06057,33784
06059,691731
06061,103958
06063,4020
06065,451782
06067,381564
06069,15179
06071,362114
06073,841372
06075,323719
06077,126647
06079,81314
06081,242957
06083,114149
06085,510744
06087,100998
06089,27130
06091,641
06093,8329
06095,113997
06097,179600
06099,85347
06101,13016
06103,7415
06105,2449
06107,53221
06109,10909
06111,217424
06113,61405
06115,10725
08001,124056
08003,3244
08005,190725
08007,3904
08009,275
08011,645
08013,150149
08014,29426
08015,7992
08017,108
08019,3464
08021,1627
08023,1155
08025,422
08027,1188
08029,6030
08031,278634
08033,325
08035,110408
08037,16943
08039,4768
08041,166597
08043,7526
08045,15128
08047,2254
08049,4743
08051,6887
08053,257
08055,1965
08057,173
08059,210875
08061,102
08063,556
08065,2199
08067,20677
08069,129376
08071,3276
08073,432
08075,2098
08077,33573
08079,317
08081,1167
08083,5793
08085,8354
08087,3291
08089,3164
08091,2442
08093,4841
08095,412
08097,7932
08099,1227
08101,39328
08103,637
08105,2306
08107,10208
08109,1704
08111,376
08113,3529
08115,283
08117,11762
08119,5065
08121,329
08123,68752
08125,758
09110,285105
09120,83461
09130,58360
09140,99237
09150,21165
09160,31137
09170,156248
09180,76146
09190,181194
10001,44222
10003,180700
10005,64836
11001,36882
11002,33571
11003,39521
11004,38628
11005,41413
11006,43262
11007,33972
11008,26936
12001,81578
12003,1982
12005,25201
12007,2946
12009,141233
12011,507328
12013,1021
12015,40450
12017,26276
12019,37926
12021,71720
12023,8250
12027,3525
12029,1183
12031,229365
12033,64601
12035,28431
12037,1870
12039,14203
12041,1662
12043,1222
12045,1970
12047,1727
12049,1751
12051,4096
12053,34431
12055,15227
12057,321455
12059,882
12061,35654
12063,5892
12065,3429
12067,441
12069,84546
12071,139240
12073,94520
12075,5994
12077,566
12079,3231
12081,86674
12083,72436
12085,33539
12086,480355
12087,17933
12089,17143
12091,32074
12093,3671
12095,340807
12097,84205
12099,372512
12101,117450
12103,242452
12105,136879
12107,9354
12109,66862
12111,83517
12113,27035
12115,112668
12117,120717
12119,32551
12121,4217
12123,1991
12125,971
12127,120132
12129,5441
12131,10287
12133,2140
13001,1560
13003,700
13005,645
13007,590
13009,9159
13011,1136
13013,12949
13015,13942
13017,2199
13019,1209
13021,42172
13023,1339
13025,736
13027,2629
13029,7779
13031,11514
13033,4994
13035,3544
13037,1153
13039,8405
13043,1196
13045,17634
13047,7704
13049,1007
13051,82758
13053,703
13055,1896
13057,48838
13059,36297
13061,771
13063,94203
13065,702
13067,228404
13069,4295
13071,4114
13073,31624
13075,1956
13077,28111
13079,1582
13081,2993
13083,1343
13085,3350
13087,4372
13089,299630
13091,2081
13093,1921
13095,23831
13097,46240
13099,2158
13101,127
13103,9144
13105,2700
13107,2673
13109,1214
13111,2807
13113,35822
13115,12862
13117,45509
13119,1647
13121,384752
13123,3413
13125,133
13127,16144
13129,4982
13131,3290
13133,4514
13135,242507
13137,4036
13139,28347
13141,2864
13143,2065
13145,5976
13147,3210
13149,859
13151,83253
13153,35907
13155,986
13157,10472
13159,1881
13161,924
13163,3674
13165,1179
13167,1066
13169,4959
13171,2795
13173,995
13175,7820
13177,4957
13179,13459
13181,1351
13183,2476
13185,19487
13187,3356
13189,3937
13191,2628
13193,2755
13195,3753
13197,1253
13199,4373
13201,670
13205,3701
13207,4689
13209,927
13211,3533
13213,2459
13215,49413
13217,33839
13219,8620
13221,2515
13223,35802
13225,6293
13227,3522
13229,1089
13231,1648
