geoid,gop_votes
01001,20484
01003,95798
01005,5606
01007,7572
01009,25354
01011,1101
01013,5172
01015,34912
01017,8711
01019,11358
01021,16920
01023,4103
01025,6965
01027,5734
01029,6988
01031,17495
01033,19714
01035,3423
01037,3758
01039,14677
01041,5000
01043,38704
01045,14476
01047,5190
01049,25633
01051,31374
01053,10884
01055,35653
01057,7158
01059,10417
01061,10929
01063,885
01065,3369
01067,6989
01069,32469
01071,20073
01073,131123
01075,6033
01077,32708
01079,13024
01081,46020
01083,37887
01085,1758
01087,1682
01089,105430
01091,4995
01093,12245
01095,34434
01097,100759
01099,6007
01101,30477
01103,40449
01105,1269
01107,5465
01109,8224
01111,9102
01113,10078
01115,35501
01117,79666
01119,1542
01121,22100
01123,14884
01125,50724
01127,25464
01129,6534
01131,1793
01133,10191
02001,4861
02002,4534
02003,4496
02004,2691
02005,4351
02006,6705
02007,6777
02008,7950
02009,5581
02010,4357
02011,4864
02012,4059
02013,3589
02014,2768
02015,4594
02016,3929
02017,2407
02018,2686
02019,1971
02020,3041
02021,3984
02022,2594
02023,6101
02024,6482
02025,6891
02026,7143
02027,6785
02028,6713
02029,7418
02030,7312
02031,3475
02032,3742
02033,6548
02034,5836
02035,4395
02036,5633
02037,2208
02038,1558
02039,1690
02040,1688
04001,12795
04003,35936
04005,27576
04007,18901
04009,11177
04011,2308
04012,5470
04013,1051531
04015,85683
04017,29480
04019,214669
04021,126926
04023,7699
04025,99346
04027,40745
05001,3951
05003,5145
05005,16253
05007,79907
05009,13968
05011,2213
05013,1674
05015,7470
05017,1658
05019,4526
05021,3968
05023,10595
05025,2804
05027,5367
05029,5893
05031,25152
05033,18615
05035,7028
05037,4753
05039,1482
05041,1805
05043,4203
05045,35357
05047,5582
05049,4040
05051,28359
05053,6755
05055,12617
05057,4193
05059,9226
05061,3246
05063,11023
05065,4854
05067,3509
05069,8468
05071,6766
05073,1589
05075,4608
05077,1181
05079,2502
05081,3744
05083,6567
05085,23225
05087,5885
05089,6230
05091,11842
05093,6963
05095,1385
05097,2987
05099,2002
05101,3063
05103,5056
05105,3559
05107,2098
05109,3746
05111,5731
05113,6987
05115,18118
05117,2628
05119,57977
05121,5367
05123,2909
05125,39736
05127,2913
05129,3305
05131,30719
05133,3772
05135,5978
05137,4808
05139,10196
05141,6023
05143,50243
05145,24514
05147,1513
05149,5147
06001,140789
06003,243
06005,14018
06007,47179
06009,16625
06011,4414
06013,155308
06015,5999
06017,61109
06019,165924
06021,6904
06023,21559
06025,26546
06027,4468
06029,167879
06031,25074
06033,13161
06035,8619
06037,1189862
06039,32344
06041,24054
06043,5625
06045,13528
06047,43955
06049,2884
06051,2294
06053,49226
06055,20357
06057,26177
06059,654815
06061,123941
06063,5725
06065,463677
06067,252140
06069,11702
06071,378416
06073,593270
06075,62594
06077,128996
06079,64932
06081,76616
06083,64870
06085,210924
06087,27978
06089,59539
06091,1066
06093,12461
06095,70345
06097,63426
06099,106986
06101,25372
06103,18503
06105,2979
06107,81854
06109,17210
06111,158901
06113,27844
06115,18491
08001,103024
08003,4057
08005,125311
08007,5218
08009,1686
08011,1496
08013,40758
08014,16071
08015,6034
08017,930
08019,2452
08021,2358
08023,850
08025,1231
08027,2583
08029,12948
08031,74765
08033,1076
08035,127451
08037,10148
08039,15209
08041,203933
08043,17313
08045,14493
08047,1729
08049,4822
08051,3689
08053,332
08055,2346
08057,634
08059,140505
08061,744
08063,3083
08065,1557
08067,14024
08069,89680
08071,4328
08073,2090
08075,7855
08077,55839
08079,417
08081,5358
08083,8972
08085,16704
08087,9830
08089,5520
08091,1573
08093,6828
08095,1888
08097,2992
08099,3833
08101,43688
08103,2988
08105,3743
08107,5676
08109,1577
08111,188
08113,1154
08115,1048
08117,5244
08119,10856
08121,2436
08123,106469
08125,3807
09110,181038
09120,51519
09130,44318
09140,115290
09150,29028
09160,31944
09170,103087
09180,58392
09190,122302
10001,42458
10003,90868
10005,81025
11001,2056
11002,2982
11003,3544
11004,2511
11005,2309
11006,3638
11007,2092
11008,1944
12001,52939
12003,12926
12005,71497
12007,10920
12009,216533
12011,358952
12013,5367
12015,82480
12017,71356
12019,87711
12021,143267
12023,25108
12027,8888
12029,6920
12031,236285
12033,96407
12035,51014
12037,4831
12039,7495
12041,8931
12043,4034
12045,6684
12047,3964
12049,6336
12051,9253
12053,75446
12055,36382
12057,342017
12059,8193
12061,62737
12063,16074
12065,5011
12067,3296
12069,140500
12071,250661
12073,60397
12075,18245
12077,2898
12079,5874
12081,140486
12083,140173
12085,64121
12086,605590
12087,26064
12089,47945
12091,80309
12093,12315
12095,258279
12097,86713
12099,366836
12101,197779
12103,269472
12105,209044
12107,26700
12109,128759
12111,100293
12113,84314
12115,163219
12117,129735
12119,72134
12121,17561
12123,7954
12125,5224
12127,187691
12129,14246
12131,38970
12133,10370
13001,6761
13003,2350
13005,4186
13007,883
13009,9574
13011,9358
13013,30730
13015,43271
13017,4281
13019,6841
13021,26658
13023,4685
13025,7744
13027,4560
13029,16738
13031,20985
13033,6027
13035,9424
13037,900
13039,17819
13043,3366
13045,42536
13047,27150
13049,3607
13051,57336
13053,982
13055,8769
13057,112142
13059,16049
13061,663
13063,16877
13065,2201
13067,168679
13069,11388
13071,12451
13073,53657
13075,5374
13077,57204
13079,4742
13081,5099
13083,6804
13085,16115
13087,7140
13089,62622
13091,6249
13093,2243
13095,9904
13097,23996
13099,2718
13101,1307
13103,26943
13105,6860
13107,6919
13109,3011
13111,13232
13113,38177
13115,31631
13117,91281
13119,10459
13121,144655
13123,14976
13125,1534
13127,27558
13129,22495
13131,7385
13133,8215
13135,173041
13137,19142
13139,72991
13141,1364
13143,14239
13145,16283
13147,11064
13149,5335
13151,44982
13153,45090
13155,3340
13157,36497
13159,7203
13161,4935
13163,3765
13165,2217
13167,2913
13169,11079
13171,7575
13173,2726
13175,15460
13177,12655
13179,9441
13181,3559
13183,4557
13185,28081
13187,14339
13189,6562
13191,4747
13193,1916
13195,12951
13197,2348
13199,7375
13201,2045
13205,5150
13207,12954
13209,3033
13211,9589
13213,14965
13215,30616
13217,24893
13219,18424
13221,6255
13223,58769
13225,7104
13227,17281
13229,8655
13231,10864
13233,15352
13235,3036
13237,9136
13239,656
13241,8151
13243,1373
13245,26472
13247,11711
13249,1970
13251,4325
13253,2811
13255,19184
13257,10632
13259,847
13261,5869
13263,1483
13265,375
13267,6515
13269,2600
13271,2930
13273,2075
13275,13670
13277,11496
13279,8208
13281,7155
13283,2250
13285,19392
13287,2457
13289,2549
13291,14477
13293,9528
13295,25462
13297,42407
13299,10279
13301,1232
13303,4824
13305,10811
13307,790
13309,1648
13311,14136
13313,28655
13315,2493
13317,2971
13319,2888
13321,6991
15001,28748
15003,130489
15007,11803
15009,22621
16001,143759
16003,2037
16005,24329
16007,2908
16009,4094
16011,16188
16013,4281
16015,3727
16017,21352
16019,40053
16021,5794
16023,1268
16025,547
16027,72755
16029,2906
16031,7959
16033,280
16035,3550
16037,1998
16039,7791
16041,6279
16043,5645
16045,8707
16047,4676
16049,8148
16051,13481
16053,6012
16055,72059
16057,10669
16059,3716
16061,1503
16063,1466
16065,13925
16067,6401
16069,13707
16071,2119
16073,4101
16075,9458
16077,2146
16079,4500
16081,3005
16083,27304
16085,4214
16087,4429
17001,23161
17003,1341
17005,5692
17007,13673
17009,1938
17011,9784
17013,2059
17015,5082
17017,3712
17019,32965
17021,11278
17023,6130
17025,5610
17027,14407
17029,13606
17031,583852
17033,6727
17035,4627
17037,22716
17039,5529
17041,6076
17043,191243
17045,5955
17047,2794
17049,15124
17051,7847
17053,4778
17055,13200
17057,9827
17059,1923
17061,4719
17063,16997
17065,3385
17067,6708
17069,1546
17071,2369
17073,15359
17075,10376
17077,10614
17079,4449
17081,12189
17083,8684
17085,7136
17087,4798
17089,99260
17091,28285
17093,31970
17095,11917
17097,120402
17099,30717
17101,4715
17103,9680
17105,11970
17107,8757
17109,6987
17111,83933
17113,40290
17115,26562
17117,16065
17119,73925
17121,12409
17123,4119
17125,4464
17127,4939
17129,4499
