State,Pop18_65,Pop18_24_NONE,POP18_24_HS,POP18_24_SOME_COL,POP18_24_BA,POP25_PLUS,POP25_PLUS_SOMEHS,POP25_PLUS_MOREHS,POP25_PLUS_HS,delete1,delete2,PLUS25_SOME_COLLEGE,POP25_PLUS_BA,POP25_PLUS_GRAD
Alabama,479855,51796,182028,194385,51646,3498967,121630,258272,1052554,733923,321748,1055671,616025,394815
Alaska,65148,8523,33859,19964,2802,493892,11376,22085,143607,115592,42025,157617,99091,60116
Arizona,701011,97858,258209,265769,79175,5150254,238234,308931,1202651,1203684,470638,1674322,1051136,674980
Arkansas,288490,37090,111568,108757,31075,2078254,80265,143133,710230,423270,177336,600606,345836,198184
California,3558215,347978,1286395,1459490,464352,26969649,2341160,1753074,5505182,5142978,2116930,7259908,6137666,3972659
Colorado,531807,57182,190419,205447,78759,4135123,120666,157178,798897,797481,340844,1138325,1170106,749951
Connecticut,334630,30815,114336,124122,65357,2559922,94357,116657,653609,397786,199198,596984,591246,507069
Delaware,88538,10256,34578,34083,9621,731427,23995,39022,208160,133387,60161,193548,153565,113137
District of Columbia,69527,5926,14978,26539,22084,482919,15862,19161,63274,53895,12270,66165,129951,188506
Florida,1809840,225627,635050,735628,213535,16421870,677352,924156,4404157,3028642,1653669,4682311,3550180,2183714
Georgia,1046760,137364,407519,385702,116175,7448119,317562,476774,1955787,1441341,618860,2060201,1585916,1051879
Hawaii,116354,10667,49872,43239,12576,1024897,29345,42485,269469,192004,112385,304389,237228,141981
Idaho,192631,27294,70579,80558,14200,1305704,38851,63520,338616,321093,123937,445030,281799,137888
Illinois,1137066,118624,411424,426876,180142,8710996,388438,434550,2204015,1644982,704637,2349619,1983481,1350893
Indiana,666323,91869,260128,227643,86683,4614970,166617,274402,1484039,871870,423644,1295514,882311,512087
Iowa,315032,33453,109281,132392,39906,2166425,62333,83155,648610,423865,264962,688827,452714,230786
Kansas,297531,32469,101580,124158,39324,1956252,64565,98165,490655,419964,182190,602154,438965,261748
Kentucky,407142,44906,166279,150175,45782,3107275,127723,197285,1026377,606140,284485,890625,506856,358409
Louisiana,407420,57179,146220,168416,35605,3102893,132368,245849,1026301,627075,233782,860857,525591,311927
Maine,110484,10827,42424,42013,15220,1039460,18704,34203,305234,187281,109495,296776,241654,142889
Maryland,523893,70153,179596,196240,77904,4297439,175738,204242,1025379,710628,301452,1012080,964064,915936
Massachusetts,684808,62127,221412,255221,146048,4975152,216681,211654,1135009,672483,362116,1034599,1261847,1115362
Michigan,918934,113072,333215,356539,116108,7007856,184918,373459,1941922,1540409,677286,2217695,1395186,894676
Minnesota,501365,56370,167907,195645,81443,3941575,99038,124785,919678,754061,467807,1221868,1022673,553533
Mississippi,284309,33463,103958,122560,24328,1980147,81217,161212,582307,427986,221753,649739,307215,198457
Missouri,569007,61916,212000,221714,73377,4255810,112699,227112,1250614,882603,368798,1251401,860267,553717
Montana,101405,13923,40330,37306,9846,795845,14137,30213,222744,170099,83117,253216,180347,95188
Nebraska,192539,19536,64891,82495,25617,1307246,48270,47800,324140,276934,148822,425756,298782,162498
Nevada,256407,39741,111927,81894,22845,2253253,123326,152978,604973,527270,197555,724825,421005,226146
New Hampshire,120374,10728,43859,47697,18090,1030965,17225,40771,278782,173672,100414,274086,253142,166959
New Jersey,770595,81485,252457,280269,156384,6511081,308958,298565,1638822,973477,440974,1414451,1712683,1137602
New Mexico,194756,29818,78465,68663,17810,1471057,84624,99276,369453,318108,134035,452143,257431,208130
New York,1735312,162045,540212,693341,339714,13885155,812044,808751,3366650,2005103,1249700,3254803,3136170,2506737
North Carolina,1025440,114126,369469,404405,137440,7487552,279296,426560,1831714,1440865,754196,2195061,1718641,1036280
North Dakota,84320,8031,24586,40350,11353,520006,10449,17968,126581,118790,71744,190534,121205,53269
Ohio,1042622,125539,413231,370837,133015,8172692,217583,446159,2597987,1544601,748317,2292918,1578402,1039643
Oklahoma,403659,60764,160366,146441,36088,2684421,103777,173340,820564,594188,221742,815930,498843,271967
Oregon,352882,39752,139987,131153,41990,3050675,96719,147981,672703,700438,284196,984634,715933,432705
Pennsylvania,1166048,126314,454100,429184,156450,9171006,257762,458209,3034070,1362057,817565,2179622,1921489,1319854
Rhode Island,106212,9952,37883,41674,16703,786493,41587,40463,207550,129717,60077,189794,182054,125045
South Carolina,485923,57869,192238,182584,53232,3745394,124307,242615,1056098,731088,358438,1089526,765869,466979
South Dakota,84994,13707,28536,32480,10271,615517,15422,24868,170305,125759,74196,199955,141083,63884
Tennessee,631162,63865,240068,235843,91386,4931967,190711,295929,1529501,957443,395771,1353214,952495,610117
Texas,2933597,385174,1100264,1116182,331977,20029447,1415920,1320621,4852745,3968757,1612998,5581755,4324866,2533540
Utah,398810,44781,137108,181329,35592,2085019,61386,82833,461960,476973,201491,678464,513565,286811
Vermont,61383,5428,23088,25162,7705,471255,6938,14252,127628,75063,41567,116630,118611,87196
Virginia,806182,70989,298516,308747,127930,6037339,213181,303286,1452078,1044919,462513,1507432,1446760,1114602
Washington,654491,77207,249390,233061,94833,5511197,178043,242948,1188673,1131507,540688,1672195,1340967,888371
West Virginia,159210,17804,69202,56759,15445,1259219,41525,97196,500120,210631,107668,318299,182741,119338
Wisconsin,550661,50842,208435,217166,74218,4116216,98509,162413,1212716,790574,462605,1253179,914463,474936
Wyoming,50239,6345,20119,19508,4267,403853,8408,16136,111034,98528,46871,145399,77762,45114
