State,immigrants,emmigrants
Alabama,119421,99663
Alaska,30676,35800
Arizona,256203,193670
Arkansas,73123,63179
California,422075,690127
Colorado,232663,211370
Connecticut,94990,91384
Delaware,39006,29121
District of Columbia ,56860,64336
Florida,636933,510925
Georgia,310452,250484
Hawaii,58539,58078
Idaho,81708,64970
Illinois,203758,297005
Indiana,150649,120876
Iowa,73176,75032
Kansas,77138,92713
Kentucky,106797,92582
Louisiana,69464,101180
Maine,38089,27227
Maryland,162674,198764
Massachusetts,145021,184534
Michigan,135115,155530
Minnesota,100277,108966
Mississippi,64610,61833
Missouri,143688,135597
Montana,36775,36822
Nebraska,48590,48659
Nevada,122219,104444
New Hampshire,39695,46753
New Jersey,156335,225514
New Mexico,64673,64917
New York,302835,481544
North Carolina,339255,232663
North Dakota,34415,20814
Ohio,185341,184281
Oklahoma,107679,84309
Oregon,125246,131403
Pennsylvania,237526,272461
Rhode Island,31599,31416
South Carolina,203674,135007
South Dakota,30055,29464
Tennessee,203156,180407
Texas,611942,478570
Utah,90865,94351
Vermont,26743,19151
Virginia,276161,253240
Washington,212616,215277
West Virginia,42020,41042
Wisconsin,114938,100085
Wyoming,22957,22875
