locale,gdp,state
Fairfield,9.6598373e10,CT
Hartford,8.7029233e10,CT
Litchfield,9.06895e9,CT
Middlesex,1.031359e10,CT
New Haven,5.3369766e10,CT
New London,1.9691503e10,CT
Tolland,5.417077e9,CT
Windham,5.121576e9,CT
,,CT
Androscoggin,5.383444e9,ME
Aroostook,2.570781e9,ME
Cumberland,2.6732301e10,ME
Franklin,1.138827e9,ME
Hancock,2.738772e9,ME
Kennebec,6.534809e9,ME
Knox,2.021203e9,ME
Lincoln,1.375392e9,ME
Oxford,1.912837e9,ME
Penobscot,7.231746e9,ME
Piscataquis,6.4309e8,ME
Sagadahoc,2.398061e9,ME
Somerset,1.802108e9,ME
Waldo,1.533828e9,ME
Barnstable,1.448367e10,MA
Berkshire,7.240663e9,MA
Bristol,2.7170801e10,MA
Dukes,1.596463e9,MA
Essex,4.8080288e10,MA
Franklin,2.988888e9,MA
Hampden,2.3113491e10,MA
Hampshire,7.823339e9,MA
Middlesex,1.97209394e11,MA
Nantucket,1.519088e9,MA
Norfolk,5.8088322e10,MA
Plymouth,2.7762507e10,MA
Suffolk,1.51981903e11,MA
Worcester,4.6807136e10,MA
,,MA
Belknap,3.0776e9,NH
Carroll,2.436876e9,NH
Cheshire,4.022553e9,NH
Coos,1.363574e9,NH
Grafton,7.710924e9,NH
Hillsborough,3.0476161e10,NH
Merrimack,1.0392468e10,NH
Rockingham,2.5975284e10,NH
Strafford,6.441921e9,NH
Sullivan,1.585384e9,NH
,,NH
Bristol,1.967028e9,RI
Kent,1.0007195e10,RI
Newport,6.803707e9,RI
Providence,3.6887913e10,RI
Addison,1.73856e9,VT
Bennington,1.774058e9,VT
Caledonia,1.187883e9,VT
Chittenden,1.3103601e10,VT
Essex,1.35891e8,VT
Franklin,2.066969e9,VT
Grand Isle,1.84552e8,VT
Lamoille,1.252525e9,VT
Orange,8.44815e8,VT
Orleans,1.110896e9,VT
Rutland,2.765476e9,VT
