county,drop,drop,drop,GDP,drop,drop,drop,drop,drop,
Alabama,"222,288,753","233,726,620","238,556,458",245354674,--,5.1,2.1,2.8,--,
Autauga,"1,746,979","1,736,001","1,895,751",1945909,23,-0.6,9.2,2.6,32,
Baldwin,"8,109,210","8,706,236","9,145,388",9435720,7,7.4,5.0,3.2,20,
Barbour,"732,151","753,330","744,850",715994,42,2.9,-1.1,-3.9,62,
Bibb,"460,844","460,027","457,625",466543,52,-0.2,-0.5,1.9,36,
Blount,"906,582","1,033,615","1,031,061",987208,34,14.0,-0.2,-4.3,64,
Bullock,"269,007","260,950","252,515",267926,64,-3.0,-3.2,6.1,8,
Butler,"601,322","639,245","656,864",660757,43,6.3,2.8,0.6,43,
Calhoun,"4,454,207","4,704,903","4,593,362",4764871,12,5.6,-2.4,3.7,18,
Chambers,"882,006","876,257","878,621",903782,38,-0.7,0.3,2.9,27,
Cherokee,"534,073","597,740","607,982",599214,47,11.9,1.7,-1.4,58,
Chilton,"1,069,934","1,096,741","1,148,340",1215493,33,2.5,4.7,5.8,10,
Choctaw,"562,101","574,699","629,451",618810,45,2.2,9.5,-1.7,60,
Clarke,"850,374","843,622","826,142",850844,39,-0.8,-2.1,3.0,25,
Clay,"424,267","439,087","430,827",386382,56,3.5,-1.9,-10.3,67,
Cleburne,"279,348","322,737","327,915",327927,62,15.5,1.6,0.0,47,
Coffee,"1,399,269","1,611,624","1,697,570",1709663,25,15.2,5.3,0.7,42,
Colbert,"2,533,138","2,599,438","2,725,169",2802771,19,2.6,4.8,2.8,28,
Conecuh,"372,518","383,099","353,766",383453,57,2.8,-7.7,8.4,3,
Coosa,"178,814","179,578","192,430",181781,67,0.4,7.2,-5.5,65,
Covington,"1,214,635","1,265,158","1,228,528",1234498,32,4.2,-2.9,0.5,44,
Crenshaw,"373,160","421,499","451,774",450012,53,13.0,7.2,-0.4,49,
Cullman,"2,807,111","3,040,101","3,140,935",3089606,15,8.3,3.3,-1.6,59,
Dale,"2,780,156","2,914,662","2,901,900",3035393,16,4.8,-0.4,4.6,14,
Dallas,"1,251,466","1,263,410","1,281,057",1344905,30,1.0,1.4,5.0,13,
DeKalb,"1,889,298","2,135,305","2,298,160",2207302,20,13.0,7.6,-4.0,63,
Elmore,"1,971,078","2,059,511","2,067,822",2161855,21,4.5,0.4,4.5,15,
Escambia,"1,198,870","1,205,741","1,228,916",1279587,31,0.6,1.9,4.1,17,
Etowah,"2,824,810","2,919,437","2,952,383",3002919,17,3.3,1.1,1.7,38,
Fayette,"337,273","346,919","350,410",356603,59,2.9,1.0,1.8,37,
Franklin,"909,753","984,245","1,049,672",985317,36,8.2,6.6,-6.1,66,
Geneva,"558,832","580,310","577,775",578990,48,3.8,-0.4,0.2,45,
Greene,"211,650","196,768","203,081",216280,65,-7.0,3.2,6.5,6,
Hale,"274,941","253,625","242,703",272820,63,-7.8,-4.3,12.4,2,
Henry,"448,782","464,907","472,987",485965,51,3.6,1.7,2.7,31,
Houston,"5,612,946","5,826,046","5,797,692",5971112,10,3.8,-0.5,3.0,24,
Jackson,"1,459,631","1,536,306","1,552,792",1596941,28,5.3,1.1,2.8,29,
Jefferson,"45,495,547","47,968,143","48,873,088",49903057,1,5.4,1.9,2.1,34,
Lamar,"328,150","337,655","332,268",330918,61,2.9,-1.6,-0.4,51,
Lauderdale,"2,633,162","2,753,387","2,819,956",2922201,18,4.6,2.4,3.6,19,
Lawrence,"565,359","599,674","639,821",627737,44,6.1,6.7,-1.9,61,
Lee,"6,202,804","6,592,171","6,609,805",6987631,8,6.3,0.3,5.7,11,
Limestone,"4,152,291","4,672,452","4,869,837",5181859,11,12.5,4.2,6.4,7,
Lowndes,"380,643","398,385","412,426",422687,54,4.7,3.5,2.5,33,
Macon,"523,697","542,023","552,590",563676,49,3.5,1.9,2.0,35,
Madison,"26,578,200","27,897,745","29,190,325",30905624,2,5.0,4.6,5.9,9,
Marengo,"799,999","819,010","808,939",822370,40,2.4,-1.2,1.7,39,
Marion,"875,066","933,761","980,218",976241,37,6.7,5.0,-0.4,50,
Marshall,"3,513,964","3,756,397","3,903,250",3873554,13,6.9,3.9,-0.8,53,
Mobile,"20,629,953","21,930,668","22,053,143",23187207,3,6.3,0.6,5.1,12,
Monroe,"645,004","645,366","618,929",611516,46,0.1,-4.1,-1.2,56,
Montgomery,"13,790,378","14,290,065","14,564,228",15024566,4,3.6,1.9,3.2,21,
Morgan,"5,752,406","5,967,835","6,233,831",6409604,9,3.7,4.5,2.8,30,
Perry,"200,884","187,031","180,477",204764,66,-6.9,-3.5,13.5,1,
Pickens,"437,136","433,955","402,700",414576,55,-0.7,-7.2,2.9,26,
Pike,"1,385,275","1,548,274","1,565,134",1613119,27,11.8,1.1,3.1,23,
Randolph,"461,568","505,296","500,247",494719,50,9.5,-1.0,-1.1,55,
Russell,"1,518,639","1,604,962","1,675,552",1697224,26,5.7,4.4,1.3,41,
St. Clair,"1,996,200","2,104,074","2,080,846",2113414,22,5.4,-1.1,1.6,40,
Shelby,"12,202,275","12,883,843","13,078,938",13047437,5,5.6,1.5,-0.2,48,
Sumter,"323,200","314,818","310,362",332733,60,-2.6,-1.4,7.2,5,
Talladega,"3,049,141","3,187,373","3,219,199",3201599,14,4.5,1.0,-0.5,52,
