from,to,movers
Alabama,Alabama, 
Alaska,Alabama,780
Arizona,Alabama,4470
Arkansas,Alabama,1584
California,Alabama,4921
Colorado,Alabama,1601
Connecticut,Alabama,283
Delaware,Alabama,330
District of Columbia ,Alabama,273
Florida,Alabama,17515
Georgia,Alabama,19270
Hawaii,Alabama,775
Idaho,Alabama,105
Illinois,Alabama,3362
Indiana,Alabama,1488
Iowa,Alabama,151
Kansas,Alabama,373
Kentucky,Alabama,1806
Louisiana,Alabama,2410
Maine,Alabama,0
Maryland,Alabama,457
Massachusetts,Alabama,504
Michigan,Alabama,1858
Minnesota,Alabama,1224
Mississippi,Alabama,8391
Missouri,Alabama,1983
Montana,Alabama,347
Nebraska,Alabama,295
Nevada,Alabama,1456
New Hampshire,Alabama,152
New Jersey,Alabama,548
New Mexico,Alabama,600
New York,Alabama,2701
North Carolina,Alabama,3656
North Dakota,Alabama,128
Ohio,Alabama,1993
Oklahoma,Alabama,481
Oregon,Alabama,1416
Pennsylvania,Alabama,1341
Rhode Island,Alabama,213
South Carolina,Alabama,1642
South Dakota,Alabama,62
Tennessee,Alabama,12640
Texas,Alabama,7504
Utah,Alabama,497
Vermont,Alabama,0
Virginia,Alabama,3171
Washington,Alabama,1586
West Virginia,Alabama,311
Wisconsin,Alabama,718
Wyoming,Alabama,49
Puerto Rico,Alabama,415
Alabama,Alaska,204
Alaska,Alaska,
Arizona,Alaska,618
Arkansas,Alaska,159
California,Alaska,4697
Colorado,Alaska,1087
Connecticut,Alaska,0
Delaware,Alaska,258
District of Columbia ,Alaska,220
Florida,Alaska,1380
Georgia,Alaska,411
Hawaii,Alaska,1023
Idaho,Alaska,803
Illinois,Alaska,73
Indiana,Alaska,486
Iowa,Alaska,33
Kansas,Alaska,1200
Kentucky,Alaska,781
Louisiana,Alaska,198
Maine,Alaska,0
Maryland,Alaska,201
Massachusetts,Alaska,353
Michigan,Alaska,152
Minnesota,Alaska,611
Mississippi,Alaska,174
Missouri,Alaska,107
Montana,Alaska,936
Nebraska,Alaska,387
Nevada,Alaska,98
New Hampshire,Alaska,18
New Jersey,Alaska,513
New Mexico,Alaska,22
New York,Alaska,1232
North Carolina,Alaska,1410
North Dakota,Alaska,156
Ohio,Alaska,601
Oklahoma,Alaska,275
Oregon,Alaska,3187
Pennsylvania,Alaska,213
Rhode Island,Alaska,0
South Carolina,Alaska,211
South Dakota,Alaska,94
Tennessee,Alaska,340
Texas,Alaska,980
Utah,Alaska,561
Vermont,Alaska,45
Virginia,Alaska,1331
Washington,Alaska,2283
West Virginia,Alaska,0
Wisconsin,Alaska,34
Wyoming,Alaska,520
